run_id,task,probe,group,job_type,key,code_sha,git_sha,stage,created
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.99_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.99_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:14:07+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.99_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.99_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:34:05+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.9_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.9_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:56:08+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.9_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.9_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:15:58+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0.9_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0.9_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:35:54+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T18:56:01+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:16:05+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.4_b0_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.4_b0_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:36:37+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.5_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.5_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:57:05+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.5_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.5_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:17:36+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.5_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.5_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:38:18+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.95_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.95_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:57:49+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.95_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.95_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:17:57+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.95_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.95_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:38:03+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.99_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.99_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:55:00+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.99_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.99_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:15:09+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.99_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.99_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:35:18+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.9_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.9_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:56:42+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.9_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.9_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:16:45+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.9_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.9_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:36:54+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.9_s3_cb93917b,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.9_s3,cb93917b,cb93917b,confirm,2026-07-20T07:33:19+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0.9_s4_cb93917b,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0.9_s4,cb93917b,cb93917b,confirm,2026-07-20T07:53:55+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0_s0_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0_s0,11d8d1f6,11d8d1f6,confirm,2026-07-19T19:58:17+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0_s1_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0_s1,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:18:36+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0_s2_11d8d1f6,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0_s2,11d8d1f6,11d8d1f6,confirm,2026-07-19T20:38:58+00:00
resnet-cifar_g1_grid_cifar10_bn_ema_lr0.8_b0_s3_cb93917b,resnet-cifar,g1,resnet-cifar,g1,grid_cifar10_bn_ema_lr0.8_b0_s3,cb93917b,cb93917b,confirm,2026-07-20T06:51:56+00:00
